epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,337.357,0.49544,1.07313,0.90424,0.79705,0.5,0.745,0.54678,1.26317,2.82727,1.46064,0.000241338,0.000241338,0.000241338
89,340.707,0.5922,1.11181,0.96089,0.79705,0.5,0.745,0.54678,1.26317,2.82727,1.46064,0.000226688,0.000226688,0.000226688
90,344.123,0.55146,1.03483,0.91503,0.79705,0.5,0.745,0.54678,1.26317,2.82727,1.46064,0.000211642,0.000211642,0.000211642
91,347.754,0.377,1.41813,0.7706,0.79705,0.5,0.745,0.54678,1.26317,2.82727,1.46064,0.0001962,0.0001962,0.0001962
92,351.201,0.39502,1.50962,0.86427,0.86413,0.5,0.82833,0.62938,1.17576,2.63744,1.3404,0.000180362,0.000180362,0.000180362
93,354.575,0.51185,1.57042,0.91476,0.86413,0.5,0.82833,0.62938,1.17576,2.63744,1.3404,0.000164128,0.000164128,0.000164128
94,358.26,0.38574,1.36892,0.82944,0.86413,0.5,0.82833,0.62938,1.17576,2.63744,1.3404,0.000147498,0.000147498,0.000147498
95,361.896,0.37439,1.39833,0.8446,0.86413,0.5,0.82833,0.62938,1.17576,2.63744,1.3404,0.000130472,0.000130472,0.000130472
96,365.56,0.3537,1.43446,0.84181,1,0.90568,0.995,0.82079,1.02371,2.53635,1.25876,0.00011305,0.00011305,0.00011305
97,369.141,0.31453,1.40798,0.82511,1,0.90568,0.995,0.82079,1.02371,2.53635,1.25876,9.5232e-05,9.5232e-05,9.5232e-05
98,372.868,0.37722,1.45316,0.84559,1,0.90568,0.995,0.82079,1.02371,2.53635,1.25876,7.7018e-05,7.7018e-05,7.7018e-05
99,376.406,0.35317,1.39855,0.76398,1,0.90568,0.995,0.82079,1.02371,2.53635,1.25876,5.8408e-05,5.8408e-05,5.8408e-05
100,380.101,0.36117,1.40126,0.81041,1,0.92978,0.995,0.796,1.01721,2.40151,1.21436,3.9402e-05,3.9402e-05,3.9402e-05
